author_scopus_id,tcin_author,title,url,cover_date,citations,journal,issn,eissn,journal_norm,issn_norm,eissn_norm,impact_from_eissn,impact_from_issn,impact_from_journal,impact_factor,impact_match_source,impact_band
6602566280,"Bokde, Arun L.W.",Differential associations of adolescent versus young adult cannabis initiation with longitudinal brain change and behavior,https://api.elsevier.com/content/abstract/scopus_id/85163351631,2023-12-01,19,Molecular Psychiatry,13594184,14765578,molecular psychiatry,13594184,14765578,22.1,22.1,22.1,22.1,eissn,16-32
6602566280,"Bokde, Arun L.W.",Differing impact of the COVID-19 pandemic on youth mental health: combined population and clinical study,https://api.elsevier.com/content/abstract/scopus_id/85181240228,2023-11-20,4,Bjpsych Open,,20564724,bjpsych open,,20564724,5.3,,5.3,5.3,eissn,4-8
6602566280,"Bokde, Arun L.W.",Brain Networks and Adolescent Alcohol Use,https://api.elsevier.com/content/abstract/scopus_id/85172310005,2023-11-01,20,JAMA Psychiatry,2168622X,,jama psychiatry,2168622X,,,31.4,31.4,31.4,issn,16-32
6602566280,"Bokde, Arun L.W.","Covariation of preadult environmental exposures, adult brain imaging phenotypes, and adult personality traits",https://api.elsevier.com/content/abstract/scopus_id/85171771565,2023-11-01,10,Molecular Psychiatry,13594184,14765578,molecular psychiatry,13594184,14765578,22.1,22.1,22.1,22.1,eissn,16-32
6602566280,"Bokde, Arun L.W.","Drinking motives, personality traits and life stressors—identifying pathways to harmful alcohol use in adolescence using a panel network approach",https://api.elsevier.com/content/abstract/scopus_id/85160068257,2023-10-01,18,Addiction,09652140,13600443,addiction,09652140,13600443,11.4,11.4,11.4,11.4,eissn,8-16
6602566280,"Bokde, Arun L.W.",Autistic traits and alcohol use in adolescents within the general population,https://api.elsevier.com/content/abstract/scopus_id/85133838069,2023-09-01,4,European Child and Adolescent Psychiatry,10188827,1435165X,european child and adolescent psychiatry,10188827,1435165X,12.1,12.1,12.1,12.1,eissn,8-16
6602566280,"Bokde, Arun L.W.",A stable and replicable neural signature of lifespan adversity in the adult brain,https://api.elsevier.com/content/abstract/scopus_id/85168538029,2023-09-01,41,Nature Neuroscience,10976256,15461726,nature neuroscience,10976256,15461726,35.4,35.4,35.4,35.4,eissn,32+
6602566280,"Bokde, Arun L.W.","Author Correction: A shared neural basis underlying psychiatric comorbidity (Nature Medicine, (2023), 29, 5, (1232-1242), 10.1038/s41591-023-02317-4)",https://api.elsevier.com/content/abstract/scopus_id/85167627898,2023-09-01,3,Nature Medicine,10788956,1546170X,nature medicine,10788956,1546170X,82.4,82.4,82.4,82.4,eissn,32+
6602566280,"Bokde, Arun L.W.",Trajectories of cortical structures associated with stress across adolescence: a bivariate latent change score approach,https://api.elsevier.com/content/abstract/scopus_id/85152451347,2023-08-01,3,Journal of Child Psychology and Psychiatry and Allied Disciplines,00219630,14697610,journal of child psychology and psychiatry and allied disciplines,00219630,14697610,14.1,14.1,14.1,14.1,eissn,8-16
6602566280,"Bokde, Arun L.W.",Trees for brains: Current residential tree cover density and its association with brain structure in young adults,https://api.elsevier.com/content/abstract/scopus_id/85164521215,2023-08-01,12,Journal of Environmental Psychology,02724944,15229610,journal of environmental psychology,02724944,15229610,10.0,10.0,10.0,10.0,eissn,8-16
6602566280,"Bokde, Arun L.W.",The Role of Empathy in Alcohol Use of Bullying Perpetrators and Victims: Lower Personal Empathic Distress Makes Male Perpetrators of Bullying More Vulnerable to Alcohol Use,https://api.elsevier.com/content/abstract/scopus_id/85164845514,2023-07-01,3,International Journal of Environmental Research and Public Health,16617827,16604601,international journal of environmental research and public health,16617827,16604601,8.5,8.5,8.5,8.5,eissn,8-16
6602566280,"Bokde, Arun L.W.",Temporo-basal sulcal connections: a manual annotation protocol and an investigation of sexual dimorphism and heritability,https://api.elsevier.com/content/abstract/scopus_id/85163018132,2023-07-01,1,Brain Structure and Function,18632653,18632661,brain structure and function,18632653,18632661,6.3,6.3,6.3,6.3,eissn,4-8
6602566280,"Bokde, Arun L.W.",A shared neural basis underlying psychiatric comorbidity,https://api.elsevier.com/content/abstract/scopus_id/85153790250,2023-05-01,62,Nature Medicine,10788956,1546170X,nature medicine,10788956,1546170X,82.4,82.4,82.4,82.4,eissn,32+
6602566280,"Bokde, Arun L.W.",Independent contribution of polygenic risk for schizophrenia and cannabis use in predicting psychotic-like experiences in young adulthood: Testing gene × environment moderation and mediation,https://api.elsevier.com/content/abstract/scopus_id/85116075973,2023-04-23,16,Psychological Medicine,00332917,14698978,psychological medicine,00332917,14698978,13.2,13.2,13.2,13.2,eissn,8-16
6602566280,"Bokde, Arun L.W.","Longitudinal Associations between Peer and Family Relationships, Emotional Symptoms, and Regional Brain Volume across Adolescence",https://api.elsevier.com/content/abstract/scopus_id/85148508173,2023-04-01,9,Journal of Youth and Adolescence,00472891,15736601,journal of youth and adolescence,00472891,15736601,8.4,8.4,8.4,8.4,eissn,8-16
6602566280,"Bokde, Arun L.W.",Conduct problems are associated with accelerated thinning of emotion-related cortical regions in a community-based sample of adolescents,https://api.elsevier.com/content/abstract/scopus_id/85148338220,2023-04-01,4,Psychiatry Research Neuroimaging,09254927,18727506,psychiatry research neuroimaging,09254927,18727506,3.7,3.7,3.7,3.7,eissn,2-4
6602566280,"Bokde, Arun L.W.",A biologically informed polygenic score of neuronal plasticity moderates the association between cognitive aptitudes and cortical thickness in adolescents,https://api.elsevier.com/content/abstract/scopus_id/85150826683,2023-04-01,5,Developmental Cognitive Neuroscience,18789293,18789307,developmental cognitive neuroscience,18789293,18789307,8.5,8.5,8.5,8.5,eissn,8-16
6602566280,"Bokde, Arun L.W.","Federated Analysis in COINSTAC Reveals Functional Network Connectivity and Spectral Links to Smoking and Alcohol Consumption in Nearly 2,000 Adolescent Brains",https://api.elsevier.com/content/abstract/scopus_id/85142937870,2023-04-01,10,Neuroinformatics,15392791,15590089,neuroinformatics,15392791,15590089,6.7,6.7,6.7,6.7,eissn,4-8
6602566280,"Bokde, Arun L.W.",Psychotic Like Experiences in Healthy Adolescents are Underpinned by Lower Fronto-Temporal Cortical Gyrification: a Study from the IMAGEN Consortium,https://api.elsevier.com/content/abstract/scopus_id/85164188013,2023-03-01,8,Schizophrenia Bulletin,05867614,17451701,schizophrenia bulletin,05867614,17451701,10.9,10.9,10.9,10.9,eissn,8-16
6602566280,"Bokde, Arun L.W.","Associations of DNA Methylation With Behavioral Problems, Gray Matter Volumes, and Negative Life Events Across Adolescence: Evidence From the Longitudinal IMAGEN Study",https://api.elsevier.com/content/abstract/scopus_id/85145958462,2023-02-15,16,Biological Psychiatry,00063223,18732402,biological psychiatry,00063223,18732402,18.2,18.2,18.2,18.2,eissn,16-32
6602566280,"Bokde, Arun L.W.",Complexity analysis of heartbeat-related signals in brain MRI time series as a potential biomarker for ageing and cognitive performance,https://api.elsevier.com/content/abstract/scopus_id/85140385971,2023-02-01,11,European Physical Journal Special Topics,19516355,19516401,european physical journal special topics,19516355,19516401,6.0,6.0,6.0,6.0,eissn,4-8
6602566280,"Bokde, Arun L.W.","Longitudinal associations between adolescent catch-up sleep, white-matter maturation and internalizing problems",https://api.elsevier.com/content/abstract/scopus_id/85146223460,2023-02-01,17,Developmental Cognitive Neuroscience,18789293,18789307,developmental cognitive neuroscience,18789293,18789307,8.5,8.5,8.5,8.5,eissn,8-16
6602566280,"Bokde, Arun L.W.",Cortical profiles of numerous psychiatric disorders and normal development share a common pattern,https://api.elsevier.com/content/abstract/scopus_id/85142063131,2023-02-01,9,Molecular Psychiatry,13594184,14765578,molecular psychiatry,13594184,14765578,22.1,22.1,22.1,22.1,eissn,16-32
6602566280,"Bokde, Arun L.W.",Anxiety onset in adolescents: a machine-learning prediction,https://api.elsevier.com/content/abstract/scopus_id/85143809874,2023-02-01,24,Molecular Psychiatry,13594184,14765578,molecular psychiatry,13594184,14765578,22.1,22.1,22.1,22.1,eissn,16-32
6602566280,"Bokde, Arun L.W.",Uncontrolled eating and sensation-seeking partially explain the prediction of future binge drinking from adolescent brain structure,https://api.elsevier.com/content/abstract/scopus_id/85173875604,2023-01-01,0,Neuroimage Clinical,,22131582,neuroimage clinical,,22131582,7.8,,7.8,7.8,eissn,4-8
6602566280,"Bokde, Arun L.W.",Uncontrolled eating and sensation-seeking partially explain the prediction of future binge drinking from adolescent brain structure,https://api.elsevier.com/content/abstract/scopus_id/85180009232,2023-01-01,2,Neuroimage Clinical,,22131582,neuroimage clinical,,22131582,7.8,,7.8,7.8,eissn,4-8
6602566280,"Bokde, Arun L.W.",Hemispheric asymmetry in cortical thinning reflects intrinsic organization of the neurotransmitter systems and homotopic functional connectivity,https://api.elsevier.com/content/abstract/scopus_id/85174850838,2023-01-01,9,Proceedings of the National Academy of Sciences of the United States of America,00278424,10916490,proceedings of the national academy of sciences of the united states of america,00278424,10916490,16.5,16.5,16.5,16.5,eissn,16-32
6602566280,"Bokde, Arun L.W.",Social environment and brain structure in adolescent mental health: A cross-sectional structural equation modelling study using IMAGEN data,https://api.elsevier.com/content/abstract/scopus_id/85145668848,2023-01-01,12,Plos One,,19326203,plos one,,19326203,5.4,,5.4,5.4,eissn,4-8
6602566280,"Bokde, Arun L.W.","Chronotype, Longitudinal Volumetric Brain Variations Throughout Adolescence, and Depressive Symptom Development",https://api.elsevier.com/content/abstract/scopus_id/85134726518,2023-01-01,21,Journal of the American Academy of Child and Adolescent Psychiatry,08908567,15275418,journal of the american academy of child and adolescent psychiatry,08908567,15275418,16.6,16.6,16.6,16.6,eissn,16-32
6602566280,"Bokde, Arun L.W.",Bayesian causal network modeling suggests adolescent cannabis use accelerates prefrontal cortical thinning,https://api.elsevier.com/content/abstract/scopus_id/85130000926,2022-12-01,18,Translational Psychiatry,,21583188,translational psychiatry,,21583188,11.5,,11.5,11.5,eissn,8-16
